lv,hour,bugs
1,684,201
2,759,210
3,833,60
4,950,120
5,1092,131
6,1236,67
7,1309,52
8,1427,67
9,1564,61
10,1650,35
11,1773,23
12,1838,32
13,2170,154
14,2238,64
15,2319,45
16,2416,94
17,2511,25
18,2604,88
19,2629,17
20,2820,73
21,2919,132
22,3057,32
23,3132,70
24,3275,22
25,3428,55
26,3538,10
27,3688,102
28,3833,80
29,3954,163
30,4262,94
31,4433,119
32,4497,109
33,4665,63
34,4791,45
35,4937,172
36,5106,42
37,5175,26
38,5314,73
39,5474,126
40,5718,106
41,5828,95
42,5863,18
43,5953,42
44,6148,28
45,6277,85
46,6345,13
47,6467,19
48,6538,33
49,6625,16
50,6779,81
51,6953,74
52,7140,65
53,7213,101
54,7310,106
55,7320,2
56,7452,40
57,7532,52
58,7669,52
59,7813,24
60,7957,68
61,8131,87
62,8199,40
63,8269,73
64,8340,27
65,8485,139
66,8607,39
67,8713,109
68,8821,144
69,8876,28
70,8965,177
71,9090,109
72,9189,23
73,9288,77
74,9355,41
75,9469,22
76,9637,99
77,9791,49
78,9976,68
79,10052,87
80,10288,92
81,10385,88
82,10507,76
83,10574,146
84,10646,40
85,10718,57
86,10916,66
87,11079,87
88,11173,238
89,11222,177
90,11325,68
91,11396,29
92,11582,103
93,11710,312
94,11867,69
95,11964,95
96,12086,75
97,12146,62
98,12324,33
99,12492,37
100,12565,36
101,12643,88
102,12714,97
103,12826,327
104,12841,2
105,12973,31
106,13003,62
107,13170,32
108,13236,31
109,13468,40
110,13646,102
111,13843,53
112,13982,32
113,14105,65
114,14174,29
115,14242,34
116,14386,144
117,14467,31
118,14535,18
119,14684,114
120,14735,16
121,14749,2
122,14842,26
123,14895,131
124,15180,108
125,15286,65
126,15420,79
127,15529,71
128,15683,108
129,15758,45
130,15868,97
131,16019,60
132,16092,33
133,16211,70
134,16260,35
135,16772,172
136,16847,141
137,17029,83
138,17076,59
139,17080,3
140,17179,46
141,17269,91
142,17375,51
143,17440,103
144,17557,52
145,17653,51
146,17753,62
147,17945,23
148,18211,67
149,18301,65
150,18385,17
151,18539,55
152,18613,40
153,18731,43
154,18885,31
155,19031,134
156,19091,25
157,19092,2
158,19214,61
159,19284,20
160,19381,64
161,19533,33
162,19729,95
163,19864,32
164,19961,119
165,20049,31
166,20217,57
167,20281,91
168,20555,78
169,20627,51
170,20796,47
171,20916,44
172,20963,33
173,21058,61
174,21116,28
175,21214,77
176,21262,52
177,21381,45
178,21477,55
179,21618,129
180,21879,86
181,22030,6
182,22138,118
183,22252,2
184,22572,103
185,22835,55
186,23172,224
187,23229,43
188,23343,33
189,23677,104
190,23965,84
191,24062,27
192,24203,14
193,24321,76
194,24663,130
195,24717,48
196,24961,93
197,25236,48
198,25432,64
199,25527,35
200,25582,93
201,25670,32
202,25885,223
203,25966,152
204,25981,2
205,26131,126
206,26510,200
207,26849,171
208,27039,90
209,27095,33
210,27300,98
211,27446,272
212,27617,68
213,27842,114
214,28171,162
215,28451,88
