lv,hour,bugs
1,276,55
2,421,194
3,543,96
4,665,75
5,758,152
6,835,53
7,902,178
8,1026,176
9,1126,75
10,1224,147
11,1292,15
12,1405,39
13,1573,118
14,1728,91
15,1914,73
16,1989,157
17,2088,65
18,2222,24
19,2304,196
20,2443,168
21,2511,160
22,2582,57
23,2654,116
24,2795,111
25,2852,10
26,2943,140
27,3036,107
28,3088,42
29,3159,77
30,3261,102
31,3333,44
32,3521,68
33,3615,139
34,3780,50
35,3900,164
36,3950,182
37,4022,80
38,4081,91
39,4261,44
40,4429,63
41,4501,46
42,4582,96
43,4651,165
44,4763,493
45,4767,4
46,4777,2
47,4910,53
48,5066,43
49,5172,37
50,5280,187
51,5405,53
52,5582,158
53,5706,62
54,5779,54
55,5918,55
56,6041,93
57,6110,45
58,6179,49
59,6323,246
60,6403,24
61,6471,22
62,6621,110
63,6672,23
64,6686,2
65,6778,30
66,6832,218
67,7116,167
68,7223,91
69,7356,116
70,7465,127
71,7619,170
72,7695,64
73,7805,140
74,7956,94
75,8028,45
76,8148,110
77,8197,41
78,8563,144
79,8709,31
80,8784,223
81,8965,124
82,9012,22
83,9116,60
84,9205,96
85,9311,150
86,9377,56
87,9493,68
88,9589,91
89,9690,73
90,9881,37
91,10149,98
92,10238,109
93,10322,28
94,10476,62
95,10549,64
96,10668,69
97,10821,47
98,10968,202
99,11028,36
100,11029,2
101,11150,64
102,11221,23
103,11318,73
104,11470,53
105,11666,135
106,11801,35
107,11898,184
108,11986,41
109,12153,108
110,12217,121
111,12491,70
112,12564,93
113,12732,73
114,12852,56
115,12900,50
116,12994,77
117,13053,42
118,13150,33
119,13198,115
120,13318,64
121,13413,79
122,13555,194
123,13764,70
124,13815,38
125,13911,81
126,13967,6
127,14003,54
128,14075,46
129,14144,52
130,14189,2
131,14344,45
132,14509,56
133,14772,81
134,15010,293
135,15108,26
136,15166,60
137,15237,34
138,15397,70
139,15614,72
140,15707,64
141,15901,59
142,15998,40
143,16139,21
144,16212,46
145,16258,60
146,16600,185
147,16654,69
148,16749,60
149,16897,66
150,17173,118
151,17368,97
152,17463,63
153,17519,155
154,17710,239
155,17796,123
156,17965,205
157,18067,211
158,18360,275
159,18447,37
160,18688,163
161,18786,90
162,18902,73
163,18976,63
164,19032,41
165,19103,72
166,19236,66
167,19339,340
168,19387,47
169,19555,90
170,19778,173
171,20108,234
172,20398,127
