author,commits,fixes,bugs,sign-off,test,review,report
Ryder Lee,139,9,5,151,1,6,1
Aaron Lu,139,4,4,148,6,37,5
Jason Baron,138,3,0,169,1,8,4
Andy Gross,138,4,0,1069,8,75,2
Martyn Welch,138,1,0,171,4,1,2
Liad Kaufman,138,12,2,144,0,13,0
Murali Karicheri,138,4,0,193,11,0,3
Jon Maloy,137,15,12,463,1,177,2
Mark Salter,137,2,0,180,21,4,10
Wang Shilong,137,0,0,148,2,7,3
Jin Yao,137,7,3,109,4,0,7
Caesar Wang,137,2,0,191,31,14,2
Yong Zhao,136,0,0,147,0,19,0
Dennis Zhou,136,15,7,154,0,0,0
Lan Tianyu,136,8,6,154,5,4,0
Davide Caratti,135,96,11,144,4,2,3
Anup Patel,135,4,2,144,4,68,1
Michel Lespinasse,135,0,0,137,1,22,7
Stefan Haberland,134,4,1,145,4,41,5
Dmitry Safonov,134,11,9,159,0,7,2
Mat Martineau,133,1,0,139,0,11,6
Anirudh Venkataramanan,133,4,3,336,0,0,0
Claudiu Beznea,133,8,5,159,4,134,1
Vincent Guittot,132,21,17,135,9,20,9
Alexandru Ardelean,132,11,4,170,0,38,0
Daniel Kurtz,132,3,0,145,5,101,5
Matthew Auld,131,30,1,144,11,538,23
Ladislav Michl,131,5,1,135,20,0,4
Qian Cai,130,60,1,139,25,3,44
Pete Zaitcev,130,1,1,125,0,0,1
Oscar Mateo,130,3,0,144,1,21,1
Madalin Bucur,129,5,1,140,2,1,1
Bhawanpreet Lakha,129,3,3,130,0,19,0
Martin Brandenburg,129,2,2,134,0,3,1
Daniel Axtens,128,16,3,132,5,32,8
Kamal Heib,128,37,1,134,0,2,1
Hanjun Guo,128,4,1,174,80,88,10
Christian Brauner,127,23,10,184,2,19,8
Michel Thierry,127,2,0,121,2,128,1
Pan Bian,127,23,0,127,0,0,3
Anssi Hannula,127,17,2,130,2,0,9
Carlo Caione,127,5,0,152,38,0,2
Mark Bloch,127,24,5,134,1,176,2
Ioana Ciornei,127,8,2,148,1,0,0
Nick Kossifidis,127,0,0,117,0,2,0
Ioana Radulescu,126,4,2,159,0,4,0
Anthony Koo,125,0,0,122,0,142,0
Bob Liu,125,0,0,276,5,26,2
Nathan Lynch,125,13,2,130,2,0,4
Lukasz Majewski,125,1,1,136,42,11,0
Anders Roxell,124,66,4,128,13,5,14
Don Brace,124,0,0,350,14,5,2
Allen Pais,124,0,0,129,1,2,1
Vasily Khoruzhick,124,12,1,144,16,5,3
Paolo Valente,123,12,8,147,1,8,5
Li Yang,123,1,0,337,0,1,1
Szymon Janc,123,0,0,131,3,0,0
Seth Forshee,123,7,0,131,18,3,11
Maxime Chevallier,123,25,8,129,3,10,1
Lijun Ou,123,17,8,244,0,4,1
Patrik Jakobsson,122,0,0,157,2,83,0
Maxim Levitsky,122,0,0,120,17,6,12
Elena Reshetova,122,0,0,187,0,1,1
Suravee Suthikulpanit,121,11,3,165,30,4,4
Tomeu Vizoso,121,10,2,139,20,21,1
Ganesh Goudar,121,14,6,248,0,2,0
Giridhar Malavali,121,6,0,342,1,5,1
Chris Packham,120,6,0,135,12,14,6
Manish Chopra,120,3,0,163,0,0,0
Hariprasad Kelam,120,0,0,120,0,0,4
Balbir Singh,120,12,4,147,14,53,2
Ray Jui,120,15,10,148,9,160,6
Harald Freudenberger,119,5,5,131,0,28,2
Boris Ostrovsky,119,6,0,325,21,293,13
Michael Grzeschik,119,0,0,174,16,2,5
Frank Rowand,119,6,4,122,10,82,1
Wei Wang,119,30,14,130,0,7,4
Thomas Huth,118,3,0,118,7,80,6
Dan Murphy,117,9,6,118,5,18,3
Benoit Parrot,117,5,4,142,6,12,2
Thomas Pedersen,117,1,0,141,0,4,0
Saurav Kashyap,116,1,0,370,0,0,0
Guo Ren,115,2,0,144,1,0,0
Yang Shi,115,13,3,118,3,7,3
Toshiaki Makita,115,27,4,120,1,5,4
Dean Nelson,115,2,0,123,0,0,6
Andrey Ignatov,114,13,7,115,1,0,4
Julien Grall,114,4,1,116,30,37,15
Goldwyn Rodrigues,114,7,3,120,4,14,2
Alexander Stein,114,0,0,121,27,0,9
James Zhu,113,0,0,117,15,42,0
Lionel Landwerlin,113,40,10,132,3,87,13
Kangjie Lu,113,4,0,113,0,0,0
Ricardo Neri,113,0,0,117,1,1,2
Alison Schofield,113,0,0,114,1,0,1
Ravi Bangoria,112,22,3,112,24,10,10
Yoshinori Sato,112,0,0,123,0,0,0
Adam Thomson,112,2,2,114,8,16,0
Mikko Perttunen,112,2,1,132,31,62,2
Wen Yang,111,39,3,118,0,0,2
Stefan Raspl,111,0,0,111,5,1,4
Joe Stringer,111,14,10,113,1,0,6
Alban Bedel,111,0,0,111,0,6,0
Kunihiko Hayashi,110,12,5,112,1,4,1
Li Jun,110,4,1,122,2,2,0
Yong Wu,110,6,2,56,6,1,1
Ivan Vecera,110,12,2,110,2,16,2
Georgi Djakov,109,10,5,131,4,9,2
Nicolai Stange,109,30,6,111,5,9,6
Martin Kepplinger,109,2,0,114,9,7,0
Palmer Dabbelt,109,3,2,336,6,68,3
Steffen Maier,109,53,5,151,0,29,2
Mario Kleiner,109,5,2,112,2,20,1
Kaike Wan,108,28,17,122,0,30,1
Catherine Sullivan,108,0,0,186,0,5,0
Neal Cardwell,107,24,11,263,12,27,13
Casey Schaufler,106,2,0,153,8,25,2
Oder Chiou,106,0,0,143,6,0,0
Mike Kravetz,106,20,7,113,11,89,1
Alexey Brodkin,105,2,1,125,9,9,7
Sergey Matyukevich,104,0,0,105,3,17,2
Yangbo Lu,104,8,2,140,1,2,1
Tzvetomir Stoyanov,104,0,0,104,0,0,2
Eugeniy Paltsev,103,3,1,105,2,1,2
Jiong Wang,103,6,3,106,0,38,1
Liviu Dudau,103,5,0,277,13,58,5
Manfred Spraul,102,4,1,112,0,0,2
Jay Vosburgh,102,6,0,209,1,1,1
Simon Arlott,102,0,0,103,2,0,1
Martin Sperl,102,5,0,107,7,6,0
Breno Leitao,102,7,1,109,3,1,4
Baoquan He,101,7,1,108,25,5,6
Emil Velikov,101,2,1,105,0,233,4
Stefan Schmidt,101,0,0,164,2,101,1
Thierry Escande,101,2,0,179,15,15,1
Valdis Kletnieks,100,2,0,98,16,3,32
Igor Russkikh,100,16,6,202,0,5,1
Richard Genoud,100,9,0,105,21,8,9
Matthias Brugger,99,3,0,497,7,138,2
Ilan Peer,99,3,0,114,1,18,7
Alan Tull,99,1,0,138,19,4,5
Hangbin Liu,98,68,9,97,0,0,10
Michal Kalderon,98,26,6,217,2,10,4
Loic Poulain,98,8,1,99,0,1,2
Grant Grundler,98,0,0,123,8,38,2
Max Gurtovoy,97,16,2,104,6,171,3
John Keeping,97,13,0,98,14,0,0
Daniel Thompson,97,3,1,140,4,79,1
Peng Li,97,10,1,524,0,26,0
Abhishek Sahu,97,4,1,101,2,11,0
Peng Fan,96,19,1,98,0,26,0
Chunyan Zhang,96,10,8,126,0,2,2
Joseph Qi,96,6,1,110,6,114,2
Mahesh Salgaonkar,96,15,4,105,4,19,4
Taeung Song,96,9,0,95,2,0,0
Xiangliang Yu,96,0,0,118,0,24,0
Jitendra Bhivare,96,1,0,98,1,13,1
Laurentiu Tudor,95,4,1,115,0,14,1
Mike Marshall,95,1,0,293,1,1,2
Denis Efremov,95,19,0,95,1,0,1
Marc Gonzalez,95,12,3,101,11,8,5
Feifei Xu,95,0,0,102,1,133,0
Denis Kirjanov,95,1,0,111,2,1,5
Eric Yang,95,0,0,97,0,55,0
Igor Grinberg,95,0,0,113,12,0,0
David Spinadel,95,3,1,102,0,2,2
Mahesh Bandewar,94,17,8,97,0,0,0
Benjamin Poirier,94,17,5,94,1,1,1
Madhavan Srinivasan,94,23,11,103,1,27,2
Jan Schmidt,94,0,0,102,3,14,0
John Harrison,94,0,0,97,0,16,1
Long Li,94,4,2,98,5,30,6
Ido Yariv,94,0,0,111,0,1,8
Haneen Mohammed,94,1,1,94,0,4,0
Olivier Moysan,93,15,7,94,0,0,0
Olga Kornievskaia,93,17,3,82,6,1,18
Zhu Yanjun,93,8,3,103,3,16,2
Jonas Bonn,93,0,0,129,2,0,1
Ariel Elior,93,0,0,554,0,0,0
Andrea Merello,92,1,0,109,0,0,4
Tim Collier,91,1,0,91,0,0,0
MyungJoo Ham,91,0,0,323,0,0,1
Elaine Zhang,91,0,0,99,0,4,1
Gwendal Grignou,90,3,1,94,26,42,1
George Cherian,90,5,1,96,4,0,4
Sibi Sankar,89,9,1,97,10,12,0
Matti Vaittinen,89,7,4,89,0,1,0
Phil Edworthy,89,1,0,93,1,2,4
Joakim Tjernlund,89,5,0,89,3,6,5
Matteo Croce,87,25,3,88,13,0,17
Maxim Mikityanskiy,87,10,1,89,0,1,1
Benjamin Coddington,87,21,7,87,8,18,9
Hugues Fruchet,87,0,0,88,0,0,0
Frank Li,87,0,0,104,2,1,0
Bin Liu,87,13,1,252,28,0,3
Pavel Begunkov,86,6,2,86,2,13,7
Shubhrajyoti Datta,86,2,0,89,1,11,1
Eugen Hristev,86,16,4,87,2,2,0
Oak Zeng,86,0,0,97,0,12,0
Maya Erez,86,0,0,281,8,17,0
Wenwen Wang,85,17,0,85,0,0,0
Alexander Sverdlin,85,10,0,92,14,29,5
Libin Yang,85,6,4,92,0,7,4
Nishad Kamdar,85,2,1,85,0,0,0
Mitko Haralanov,85,5,2,119,0,53,0
Shahed Shaikh,85,3,0,144,0,0,1
Pankaj Dubey,84,0,0,98,5,31,0
Julien Thierry,83,4,3,85,0,52,6
Sasha Neftin,83,0,0,83,0,0,0
Andy Yan,83,1,0,89,3,0,0
Mario Limonciello,83,6,0,85,13,17,4
Marcus Cooper,83,1,0,90,0,0,1
Tim Chen,83,0,0,105,9,14,8
Pranith Kumar,83,0,0,84,1,40,5
Dou Liyang,83,7,2,88,1,1,1
Jeff Moyer,82,3,0,88,7,122,30
Kevin Barnett,82,0,0,79,0,166,0
Suganath Prabu,82,1,0,110,0,0,0
Jeremy Sowden,82,6,1,82,0,0,0
Roberto Sassu,81,6,3,88,1,4,3
Vitaly Wool,81,3,1,80,0,0,2
Aristeu Rozanski,81,0,0,84,1,21,4
Devesh Sharma,81,9,1,125,63,28,3
Valentin Longchamp,81,0,0,80,0,0,0
Himanshu Jha,81,0,0,82,8,13,0
Phil Reid,81,10,2,84,11,7,0
Juri Lelli,81,7,5,94,22,21,7
Robert Hancock,81,2,0,81,2,3,1
Brett Creeley,80,1,1,81,0,0,0
Fuqian Huang,80,0,0,80,0,0,0
Andy Gospodarek,80,4,1,123,8,22,4
Navid Emamdoost,80,40,1,80,0,0,0
Jie Liu,80,2,0,128,1,49,1
Yunlong Song,80,5,0,81,0,0,0
Wei Li,79,3,0,12,0,0,1
Mikita Lipski,79,0,0,90,1,16,0
Yegor Yefremov,79,1,0,79,12,3,5
Tao Zhou,79,0,0,84,0,51,0
Ashok Raj,79,6,0,91,14,22,1
Steve Capper,79,12,5,92,22,36,4
Shirish S,78,1,0,89,1,0,1
Wei Hu,78,4,3,100,0,23,1
Rahul Lakkireddy,78,15,13,103,0,0,0
Zhi Wang,78,9,2,108,0,26,0
Todor Tomov,78,0,0,80,0,0,1
Hillf Danton,77,4,0,80,0,1,5
Stephan Gerhold,77,13,0,77,23,13,4
Luis Henriques,77,9,2,76,7,2,8
Jean Pihet,77,0,0,93,13,36,2
Chris Leech,77,1,0,86,2,17,0
Tuomas Tynkkynen,77,3,0,78,3,0,3
Marco Felsch,76,20,2,102,1,11,1
Andreas Dilger,76,1,0,272,0,638,3
Yu Zhao,76,5,0,89,0,1,1
Li Zhong,76,3,1,79,0,0,4
Serge Semin,76,3,1,78,5,5,1
Govindarajulu Varadarajan,75,9,3,85,0,1,1
Mark Yao,75,0,0,88,1,10,0
Marc Dietrich,75,1,0,78,9,4,9
Magnus Karlsson,74,22,15,75,0,0,1
Roi Dayan,74,25,2,87,2,192,3
Somnath Kotur,74,2,0,96,0,0,0
Markus Mayer,74,2,2,83,5,54,0
Karol Herbst,74,0,0,73,4,20,2
Arushi Singhal,74,0,0,75,0,0,0
Greentime Hu,73,6,1,133,7,9,2
Moritz Fischer,73,5,2,117,0,39,0
Valentin Vidic,73,0,0,73,0,0,0
Xiaofei Tan,73,1,0,80,0,0,3
Hari Bathini,73,4,2,75,2,1,0
Anusha Srivatsa,73,8,7,77,0,61,0
Alistair Popple,73,12,12,74,3,12,1
Jeremy Linton,73,1,0,79,50,13,5
Erez Shitrit,72,19,1,90,0,39,2
Sam Bobroff,72,14,1,87,8,20,1
Fugang Duan,72,1,0,135,6,10,4
Hou Zhiqiang,72,11,1,96,0,1,0
Mans Rullgard,72,6,0,82,4,0,2
Heinrich Schuchardt,72,7,0,96,2,1,8
Ching Huang,72,0,0,72,0,0,0
Daniel Wagner,71,4,0,76,29,5,10
Aditya Pakki,71,2,0,71,0,0,1
Roman Li,71,0,0,71,1,83,0
Andrew Murray,71,4,1,73,5,96,3
Igor Mitsyanko,71,1,0,84,0,1,0
Samuel Thibault,71,3,1,72,1,40,0
Mahesh Kumar,71,8,2,99,0,19,0
Vishal Verma,71,10,7,94,8,54,18
Flora Cui,71,1,0,73,0,6,0
Brad Love,71,5,2,71,0,1,0
Nick Desaulniers,70,9,1,83,43,184,43
Brijesh Singh,70,8,5,100,1,11,0
Eric Bernstein,70,0,0,70,0,46,0
Dylan Reid,70,0,0,76,4,5,0
Dengcheng Zhu,70,0,0,7,0,0,0
Madhav Chauhan,70,1,0,81,0,13,0
Dimitris Michailidis,70,2,0,74,0,0,0
Vincenzo Frascino,69,4,1,71,11,20,1
Fabien Dessenne,69,3,1,91,9,18,0
Fuyun Liang,69,28,1,78,0,0,0
Aya Levin,68,26,11,69,1,8,0
Tony Nguyen,68,2,0,133,0,0,0
Dafna Hirschfeld,68,1,0,70,0,0,1
Ulf Magnusson,68,2,0,68,2,35,0
Thinh Nguyen,68,12,2,68,7,2,1
Arnaud Pouliquen,68,1,0,77,3,0,1
Nikolai Kondrashov,68,0,0,68,3,8,0
Karsten Graul,67,8,2,106,2,5,3
Dmitry Vyukov,67,6,1,71,40,27,292
Andrew Jones,67,4,0,73,9,105,8
Bodong Wang,67,12,4,68,0,9,0
Harsh Jain,67,2,1,61,0,0,3
Paul Fulghum,67,0,0,63,0,0,0
Varsha Rao,67,0,0,67,0,0,0
Tim Harvey,66,1,0,66,12,4,3
Andrea Parri,66,7,0,67,9,19,9
Govind Singh,66,0,0,74,0,0,0
Tyrel Datwyler,66,14,2,69,0,26,0
Frederic Barrat,66,15,2,76,1,39,5
Miaoqing Pan,66,3,1,66,0,0,0
Lior David,66,0,0,71,0,0,0
Yakir Yang,66,1,1,77,11,13,0
Wang YanQing,66,5,0,71,2,1,1
He Kuang,66,1,0,101,1,0,4
Yunlei He,66,1,0,76,0,0,3
Stefan Popa,65,4,4,67,0,1,0
Joe Lawrence,65,7,0,67,21,7,14
Shashank Sharma,65,2,0,70,0,89,0
Erik Hugne,65,5,0,67,21,159,7
Wei Liu,64,1,0,66,0,26,2
Huy Nguyen,64,29,14,66,0,4,0
Jakub Sitnicki,64,11,4,64,1,11,2
Ondrej Mosnacek,64,24,12,78,1,16,0
Byungchul Park,64,1,1,64,0,2,4
Tomer Tayar,64,1,0,79,0,9,0
Greg Thelen,64,12,1,68,3,18,6
Andres Rodriguez,64,0,0,64,1,20,0
Faiz Abbas,63,7,5,72,7,6,2
Kai Vehmanen,63,6,4,69,1,12,0
Steven Price,63,11,5,64,0,63,0
Pawel Osciak,63,0,0,77,0,8,0
Jun Lei,63,0,0,63,0,96,0
William Tu,63,22,19,62,15,0,3
George Spelvin,63,3,2,66,7,7,11
Wei Ni,63,1,0,66,2,0,1
Yisheng Xie,63,6,0,71,1,0,0
Carlos Maiolino,62,0,0,63,2,98,0
Eddie James,62,9,1,68,8,31,0
Hayes Wang,62,2,2,282,1,0,0
Al Cooper,62,4,4,63,1,0,1
Dongsheng Yang,62,2,0,66,2,30,0
Parthasarathy Bhuvaragan,62,10,2,70,0,9,1
Aric Cyr,61,0,0,61,0,200,0
Laurent Vivier,61,6,1,69,9,6,0
Andrew Duggan,61,0,0,64,6,13,1
Hans Holmberg,61,9,4,68,1,24,4
Yuyang Du,61,1,0,62,0,0,1
Keyon Jie,61,3,0,74,0,0,0
Stuart Menefy,61,1,0,81,0,2,1
Nir Dotan,61,12,1,61,0,0,1
Marcin Wojtas,61,6,1,64,22,0,1
Junwei Zhang,61,0,0,65,3,227,2
Michal Kubecek,60,14,2,99,3,19,14
Kuppuswamy Sathyanarayanan,60,4,2,67,0,18,0
Sven Schnelle,60,6,0,60,9,0,9
Jon Derrick,60,8,4,63,3,23,4
Dotan Barak,60,1,0,63,0,0,1
Haishuang Yan,60,25,1,59,0,0,0
Yang Wei,60,0,0,60,0,1,2
Daniel Jurgens,60,22,9,74,0,139,0
John Hsu,60,0,0,70,0,0,0
Steve Twiss,60,14,0,67,14,1,1
Joao Pinto,60,1,1,69,1,0,1
Shawn Bohrer,60,2,0,60,5,7,8
Aurelien Aptel,59,5,1,65,5,108,0
Stanley Chu,59,2,0,59,0,17,0
Ilya Leoshkevich,59,24,0,62,4,0,1
Marcus Folkesson,59,1,0,59,4,5,1
Deepak Rawat,59,4,0,68,0,56,0
Sinclair Yeh,59,0,0,76,0,191,0
Artemy Kovalyov,58,19,8,61,1,59,1
Andrei Otcheretianski,58,6,0,68,0,0,3
Paul Blakey,58,25,8,61,0,44,8
Tomas Henzl,58,2,0,61,0,384,5
Avraham Stern,58,8,1,61,0,0,0
Moshe Shemesh,58,22,5,67,0,32,0
Junxiao Bi,58,7,1,58,0,29,0
Jack Xiao,58,0,0,63,0,54,0
Jorge Ramirez,58,3,0,0,1,0,0
Jeykumar Sankaran,58,0,0,58,0,45,0
Majd Dibbiny,58,25,1,79,0,70,0
Israel Rukshin,57,16,0,67,2,6,2
xinhui pan,57,0,0,59,0,3,0
Andreas Kemnade,57,7,1,57,3,0,1
Roman Mashak,57,12,0,60,0,0,1
Shalom Toledo,57,5,1,57,3,14,6
Shaul Triebitz,57,2,0,59,0,0,3
Beniamino Galvani,57,1,0,57,0,0,4
Connor McAdams,57,1,1,57,0,2,1
Andrey Shvetsov,56,0,0,107,0,0,0
Shengjiu Wang,56,9,2,80,0,1,1
Dirk Behme,56,2,0,76,12,0,4
Chen Yu,56,2,0,52,14,1,5
David Disseldorp,56,11,1,57,2,24,5
Kirill Smelkov,56,0,0,57,1,0,2
Stafford Horne,56,5,0,94,2,1,0
Nikola Cornij,56,1,1,56,0,42,0
Daniel He,56,0,0,1,0,0,0
Alexander Potapenko,55,16,4,59,11,3,12
Wenjing Liu,55,0,0,56,0,52,0
Avri Altman,55,4,2,59,4,62,0
Igor Mammedov,55,2,0,56,1,5,3
Vakul Garg,55,12,4,63,2,3,2
Martin Willi,55,5,0,53,4,4,0
Willy Tarreau,55,2,0,73,34,6,7
Aapo Vienamo,55,0,0,58,0,1,1
Dietmar Eggemann,54,3,0,54,25,19,2
Martin Wilck,54,17,0,53,7,8,4
Michal Suchanek,54,7,0,56,9,0,7
Eli Britstein,54,18,5,55,0,30,2
Jiada Wang,54,6,1,75,1,0,6
Marcin Nowakowski,54,14,1,55,0,0,1
Dave Watson,54,5,1,54,2,2,0
Andreas Fenkart,54,1,0,59,4,0,3
Scott Mayhew,53,10,2,54,2,0,5
Martin Fuzzey,53,3,0,54,1,0,5
Greg Kurz,53,8,0,54,4,32,1
Andreas Larsson,53,0,0,53,7,0,1
Nicolas Boichat,53,9,0,62,6,14,2
Maxim Patlasov,53,1,0,63,1,1,0
Petr Cvek,53,0,0,53,3,0,1
Gary Bisson,53,4,3,53,7,2,1
Intiyaz Basha,53,1,1,53,0,0,0
Per Forlin,52,0,0,59,1,6,0
Taniya Das,52,3,3,64,2,2,1
Yafang Shao,52,3,0,52,0,1,0
Maxime Bizon,52,1,0,52,3,0,11
Subhash Jadavani,52,0,0,103,2,94,0
Matthias Schiffer,52,6,0,53,0,1,10
Yoshihiro Kaneko,52,1,0,177,0,0,0
Aisheng Dong,52,0,0,11,0,0,0
Dave Stevenson,52,4,3,52,2,0,2
Mike Looijmans,52,2,1,53,2,0,2
Michael Mueller,52,0,0,53,23,11,1
Casey Leedom,52,1,0,101,0,5,1
Peter Xu,51,4,0,52,2,20,3
Yonglong Liu,51,12,2,54,2,0,0
Stefano Garzarella,51,5,3,59,2,9,0
Esben Haabendal,51,9,2,51,0,6,1
Jason Yan,51,8,2,54,0,3,4
Aaron Sierra,51,1,1,63,1,1,1
Paulo Alcantara,51,8,3,53,0,32,0
Alan Brady,51,1,0,52,0,2,0
Tony Jones,51,4,0,57,2,0,4
Noa Osherovich,51,21,1,57,0,4,18
Hersen Wu,50,0,0,51,0,46,1
Michael Walle,50,14,2,52,11,0,2
Saravana Kannan,50,4,3,52,0,11,6
Roman Kiryanov,50,0,0,55,0,0,0
Sahitya Tummala,50,2,0,57,0,6,2
Babu Moger,50,1,1,87,15,19,1
Rajat Jain,50,2,0,68,9,8,2
Gustavo Pimentel,50,1,1,52,25,8,0
Jerome Marchand,50,0,0,53,3,1,4
Anisse Astier,50,2,0,50,5,3,3
Feras Daoud,50,22,1,54,0,8,0
Madhumitha Prabakaran,50,0,0,50,0,0,0
Peter Oskolkov,50,6,4,50,0,0,0
Lu Fengqi,50,4,0,51,2,13,2
Tomasz Nowicki,50,3,3,63,47,32,3
Markus Heiser,50,1,1,49,4,0,3
Yury Norov,49,2,0,54,10,4,3
Janosch Frank,49,6,2,67,0,44,0
Ranjani Sridharan,49,3,0,59,0,88,1
Aurelien Jarno,49,1,0,51,6,4,3
Stephane Grosjean,49,2,2,49,0,0,1
Heiko Schocher,49,1,0,52,4,5,2
Gregory Greenman,49,2,1,55,0,10,0
Eric Leblond,49,0,0,48,1,0,4
Kenneth Feng,49,0,0,51,0,93,0
Andrei Vagin,49,12,0,75,5,3,22
David Lin,49,0,0,53,5,6,0
Maciej Purski,49,1,0,55,0,2,0
Victor Kamensky,48,1,0,53,1,1,0
Vaibhav Jain,48,12,3,49,7,7,1
Luo Jiaxing,48,1,0,47,0,0,1
Valentin Schneider,48,4,0,48,6,10,2
Flavio Leitner,48,5,2,50,1,8,5
Lars Persson,48,6,2,54,1,5,2
Rajneesh Bhardwaj,48,5,3,57,2,2,0
Mikko Rapeli,48,0,0,47,2,1,3
Yuval Shaia,48,4,0,57,6,112,4
Atul Gupta,48,0,0,62,0,0,0
Bert Kenward,48,17,3,48,1,0,0
Miguel Ojeda,47,2,0,93,0,2,1
Miaohe Lin,47,4,0,46,0,8,0
Arthur Kiyanovski,47,24,4,63,0,0,0
Yong Zhi,47,1,1,53,0,0,1
Erik Stromdahl,47,0,0,48,0,0,0
Minwoo Im,47,1,0,48,1,36,0
Romain Izard,47,7,0,47,4,1,2
Alexey Kodanev,47,37,0,49,3,0,5
Firoz Khan,47,0,0,47,0,0,0
Mika Kahola,47,5,5,63,9,77,0
Eduardo Habkost,47,0,0,55,0,0,3
Shaoyun Liu,47,0,0,57,0,12,1
Yixun Lan,47,10,0,79,9,0,1
AceLan Kao,47,0,0,47,5,1,4
Mark Zhang,46,11,7,48,6,9,3
Amit Cohen,46,5,0,46,0,0,3
Christoph Paasch,46,15,0,68,4,5,13
Wang Long,46,0,0,47,0,0,1
Himadri Pandya,46,0,0,46,0,0,0
Vitaly Prosyak,46,0,0,45,0,5,0
Adam Borowski,46,0,0,46,6,0,7
Boqun Feng,46,3,0,46,1,2,5
Shailendra Verma,46,0,0,48,1,0,0
Oleksandr Andrushchenko,46,5,3,53,1,43,0
Sandipan Das,46,16,0,47,6,3,3
Zong Li,45,3,0,48,1,1,0
Scott Branden,45,4,1,70,10,174,0
Arvind Sankar,45,5,0,46,0,0,0
Arun Easi,45,3,0,47,0,10,0
Daniel Kiper,45,0,0,45,0,20,0
Junaid Shahid,45,3,0,45,0,7,1
Yi Li,45,0,0,49,0,1,0
Martin Kaiser,45,3,0,47,1,3,2
Ross Lagerwall,45,3,2,45,0,1,1
Jerry Hoemann,45,1,1,45,5,2,1
Zefir Kurtisi,45,1,0,44,2,0,3
Loic Pallardy,45,9,5,50,0,0,1
Prike Liang,44,0,0,44,0,6,0
Brendan Higgins,44,2,1,49,15,39,7
Christian Hewitt,44,9,3,45,6,0,1
Frieder Schrempf,44,6,1,45,8,34,0
Richard Henderson,44,0,0,41,0,12,1
Zhou Yanjie,44,0,0,27,0,0,0
Nayna Jain,44,4,0,47,7,7,1
Robin Gong,44,3,0,57,2,6,0
Peter Wu,44,7,2,47,12,19,8
Christina Quast,44,0,0,44,0,0,0
Rodrigo Siqueira,44,1,1,72,12,24,0
Shaokun Zhang,44,8,1,48,3,4,1
Milian Wolff,44,3,0,43,10,1,8
Shakeel Butt,43,14,0,47,21,62,5
John Hubbard,43,11,2,56,1,42,2
Prabhakar Kushwaha,43,1,0,52,0,2,0
Ganapathi Bhat,43,6,1,64,0,1,0
Wen Gong,43,2,0,51,1,0,1
Ritesh Harjani,43,3,1,50,2,24,1
Zhou Wang,43,8,8,53,1,6,3
Shannon Zhao,43,0,0,43,3,1,1
Chandan Rajendra,43,0,0,54,10,25,7
Yi Wang,43,11,1,31,0,0,0
Wu Hao,43,0,0,50,0,0,0
Bastien Nocera,43,0,0,45,36,15,3
Chris Park,43,0,0,46,0,18,0
Aaron Liu,43,2,0,43,0,13,1
Payal Kshirsagar,43,0,0,43,0,0,0
Sheng Yong,43,3,0,55,1,0,2
Lorenzo Colitti,43,7,2,45,3,1,4
Tycho Andersen,42,6,5,44,2,9,3
Qais Yousef,42,4,0,42,24,40,0
Manu Gautam,42,6,4,44,0,7,1
Andreas Klinger,42,2,2,42,1,0,0
Uma Shankar,42,3,2,76,1,96,1
Manish Rangankar,42,0,0,64,0,0,0
Akihiro Tsukada,42,1,1,42,0,0,0
Kent Russell,42,0,0,51,2,5,0
Joshua Clayton,42,0,0,43,0,3,0
Roderick Colenbrander,42,1,1,42,2,0,1
Bandan Das,42,1,0,43,1,2,4
Wambui Karuga,42,0,0,42,0,0,0
Arjun Vynipadath,42,4,1,46,0,0,1
Otavio Salvador,42,1,0,57,4,3,1
Jay Sternberg,42,0,0,46,0,1,0
Tommi Rantala,41,6,0,42,5,0,14
Evan Green,41,3,0,43,4,74,3
Bibby Hsieh,41,7,3,51,2,2,0
Jiaxun Yang,41,0,0,45,0,1,0
Hans Wippel,41,1,0,41,0,4,2
Jay Cornwall,41,0,0,56,5,0,1
Maurizio Lombardi,41,1,0,41,0,0,2
Michael Schmitz,41,1,1,52,145,7,3
Bhupesh Sharma,41,1,0,49,33,12,2
Christian Gmeiner,41,1,0,44,5,38,3
Eric Farman,41,3,1,41,2,27,3
Denis Kenzior,41,5,4,44,8,12,0
Okash Khawaja,41,1,0,40,0,2,0
Vince Weaver,41,0,0,40,17,0,68
Mark Greer,41,1,0,52,8,60,2
Russell Currey,41,6,0,44,2,16,0
Mohammed Gamal,41,4,0,41,0,0,3
Leilk Liu,41,0,0,46,0,0,0
Masatake YAMATO,41,0,0,42,1,0,0
Oscar Salvador,41,1,0,48,10,77,2
Kazuya Mizuguchi,41,4,0,48,2,0,4
Luiz Capitulino,41,0,0,54,8,15,3
Chen Gong,41,0,0,47,4,3,1
Matthew McClintock,41,0,0,47,0,0,0
Zhenzhong Duan,40,6,0,43,0,1,1
Sameer Pujar,40,4,2,40,0,0,0
Shuming Fan,40,0,0,41,0,0,0
Nilesh Javali,40,1,1,44,0,1,0
Boris Pismenny,40,11,0,65,0,18,0
Zhen Lei,40,3,0,42,5,1,1
Samuel Pitoiset,40,1,0,41,3,1,0
Zhao Qiang,40,2,1,40,0,0,0
Jonas Karlman,39,14,0,41,5,12,2
Jules Irenge,39,0,0,39,0,0,0
